               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.012852,            0.007851,                   0,             0.98496,                   1,             0.99472,             0.83189,           0.0087623,           0.0027295,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.012254,           0.0073258,                   0,             0.98495,                   1,             0.99486,             0.84298,           0.0087333,           0.0027096,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.013368,           0.0078052,                   0,             0.98497,                   1,             0.99486,             0.83775,           0.0088501,           0.0027032,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.017757,           0.0078787,                   0,             0.98495,                   1,             0.99486,             0.83558,           0.0089903,            0.002684,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.012279,           0.0077392,                   0,             0.98544,                   1,               0.995,             0.83656,           0.0090541,           0.0026748,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.019933,            0.007718,                   0,             0.99455,                   1,               0.995,             0.83098,           0.0090863,           0.0026728,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.013736,           0.0077022,                   0,             0.98493,                   1,             0.99486,             0.83201,           0.0091538,           0.0026745,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.015372,           0.0078334,                   0,             0.98493,                   1,             0.99486,              0.8324,           0.0091761,           0.0026594,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.014938,           0.0078015,                   0,             0.98581,                   1,               0.995,              0.8342,           0.0092608,           0.0026501,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.014115,           0.0082396,                   0,             0.98569,                   1,               0.995,             0.83282,           0.0092302,           0.0026345,                   0,            0.000298,            0.000298,            0.000298
